#,contract_id,client_id,service_id,contract_date,status,auto_renew
1,1,1,73,2023-01-15,Active,1
2,2,2,5,2022-09-12,Terminated,0
3,3,3,42,2024-03-01,Active,1
4,4,4,67,2023-06-20,Paused,0
5,5,5,90,2023-11-05,Active,1
6,6,6,34,2024-01-10,Terminated,0
7,7,7,8,2023-02-18,Active,1
8,8,8,19,2022-08-27,Paused,0
9,9,9,12,2024-05-04,Active,1
10,10,10,110,2023-09-17,Terminated,0
11,11,11,24,2022-05-22,Active,1
12,12,12,78,2023-12-11,Paused,0
13,13,13,13,2023-04-10,Active,1
14,14,14,85,2023-08-06,Active,1
15,15,15,4,2024-02-15,Paused,0
16,16,16,39,2022-07-19,Terminated,0
17,17,17,100,2023-01-03,Active,1
18,18,18,59,2024-03-28,Paused,0
19,19,19,11,2023-10-01,Active,1
20,20,20,61,2022-11-09,Terminated,0
21,21,21,97,2024-01-15,Active,1
22,22,22,30,2023-06-07,Paused,0
23,23,23,70,2022-09-15,Active,1
24,24,24,52,2024-04-01,Paused,0
25,25,25,38,2023-08-22,Active,1
26,26,26,86,2022-10-19,Terminated,0
27,27,27,91,2023-03-11,Active,1
28,28,28,45,2024-05-17,Paused,0
29,29,29,7,2022-06-05,Active,1
30,30,30,58,2023-12-23,Paused,0
31,31,31,35,2023-01-05,Active,1
32,32,32,76,2022-12-30,Paused,0
33,33,33,9,2023-09-10,Active,1
34,34,34,27,2023-01-25,Terminated,0
35,35,35,53,2022-11-18,Active,1
36,36,36,21,2024-02-28,Paused,0
37,37,37,99,2022-07-03,Active,1
38,38,38,16,2023-10-05,Paused,0
39,39,39,23,2023-04-13,Active,1
40,40,40,66,2022-06-26,Terminated,0
41,41,41,6,2023-07-17,Active,1
42,42,42,63,2024-03-14,Paused,0
43,43,43,33,2023-11-27,Active,1
44,44,44,14,2023-06-03,Active,1
45,45,45,56,2024-01-07,Paused,0
46,46,46,3,2022-08-08,Terminated,0
47,47,47,50,2023-05-10,Active,1
48,48,48,22,2023-03-18,Paused,0
49,49,49,17,2022-07-11,Active,1
50,50,50,64,2023-09-14,Terminated,0
51,51,51,96,2022-10-06,Active,1
52,52,52,74,2023-01-08,Paused,0
53,53,53,15,2023-11-01,Active,1
54,54,54,25,2022-09-27,Paused,0
55,55,55,40,2024-04-22,Terminated,0
56,56,56,79,2023-02-04,Active,1
57,57,57,36,2022-11-30,Paused,0
58,58,58,26,2025-01-09,Active,1
59,59,59,93,2024-09-01,Terminated,0
60,60,60,60,2025-03-23,Active,1
61,61,61,2,2024-01-19,Active,1
62,62,62,83,2023-03-30,Paused,0
63,63,63,31,2023-10-22,Active,1
64,64,64,55,2022-11-30,Terminated,0
65,65,65,101,2024-04-14,Active,1
66,66,66,41,2023-06-09,Paused,0
67,67,67,18,2022-07-29,Active,1
68,68,68,28,2023-12-01,Paused,0
69,69,69,43,2022-10-03,Active,1
70,70,70,54,2023-05-06,Terminated,0
71,71,71,20,2024-02-10,Active,1
72,72,72,29,2023-07-18,Paused,0
73,73,73,44,2022-08-05,Active,1
74,74,74,62,2023-11-29,Paused,0
75,75,75,75,2024-06-02,Active,1
76,76,76,10,2022-09-17,Terminated,0
77,77,77,92,2023-02-14,Active,1
78,78,78,68,2024-01-25,Paused,0
79,79,79,71,2023-10-31,Active,1
80,80,80,32,2023-03-07,Terminated,0
81,81,81,98,2022-06-20,Active,1
82,82,82,49,2024-05-11,Paused,0
83,83,83,84,2023-01-12,Active,1
84,84,84,77,2022-07-16,Paused,0
85,85,85,87,2024-04-04,Terminated,0
86,86,86,88,2023-09-01,Active,1
87,87,87,102,2023-06-27,Paused,0
88,88,88,47,2022-12-08,Active,1
89,89,89,103,2024-02-21,Paused,0
90,90,90,104,2023-07-12,Terminated,0
91,91,91,105,2023-04-15,Active,1
92,92,92,106,2022-11-09,Paused,0
93,93,93,107,2023-12-03,Active,1
94,94,94,108,2024-02-17,Terminated,0
95,95,95,109,2023-01-29,Active,1
96,96,96,46,2022-08-14,Paused,0
97,97,97,48,2024-05-06,Active,1
98,98,98,80,2023-03-22,Terminated,0
99,99,99,89,2022-09-11,Active,1
100,100,100,94,2024-06-19,Paused,0
101,101,101,65,2025-04-15,Active,1
102,102,102,105,2021-11-09,Paused,0
103,103,103,106,2022-12-03,Active,1
104,104,104,102,2024-02-27,Terminated,0
105,105,105,70,2023-01-19,Active,1
106,106,106,59,2021-08-14,Paused,0
107,107,107,108,2025-05-06,Active,1
108,108,108,26,2023-05-22,Terminated,0
109,109,109,90,2023-09-11,Active,1
110,110,110,81,2025-06-19,Paused,0
